"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0UA10","2019-07-25 00:00:00","1711.000","322.000","1.000","17.400","1.000","832.600","-99.000","1.000","-99.000","-99.000","-99.000","22.100","","16.500",""
"C0V770","2019-07-25 00:00:00","26.000","84.000","1.100","27.800","0.990","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.000",""
"C0E730","2019-07-25 00:00:00","26.000","156.000","0.900","27.300","0.830","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.800",""
"C0A9C0","2019-07-25 00:00:00","35.000","106.000","0.900","27.300","0.860","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.400",""
"C0X310","2019-07-25 00:00:00","9.000","163.000","1.700","29.000","0.840","1008.800","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","26.500",""
"C0K280","2019-07-25 00:00:00","23.000","177.000","0.300","27.200","0.940","1008.700","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.100",""
"C0M650","2019-07-25 00:00:00","20.000","137.000","1.400","27.200","0.910","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.700",""
"C0S910","2019-07-25 00:00:00","212.000","28.000","1.400","26.700","0.890","986.900","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","25.300",""
"C0D570","2019-07-25 00:00:00","15.000","116.000","0.300","26.500","0.930","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","24.400",""
"C0M710","2019-07-25 00:00:00","15.000","170.000","1.300","28.900","0.830","1007.700","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","27.100",""
"C0V490","2019-07-25 00:00:00","20.000","0.000","0.000","29.000","0.990","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.900",""
"C0E870","2019-07-25 00:00:00","34.000","159.000","0.300","27.500","0.830","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0M800","2019-07-25 00:00:00","440.000","30.000","0.400","23.700","0.950","961.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","21.100",""
"C0A570","2019-07-25 00:00:00","360.000","69.000","0.300","24.300","0.970","969.600","-99.000","1.500","-99.000","-99.000","-99.000","31.500","","22.700",""
"C0S790","2019-07-25 00:00:00","236.000","351.000","0.500","25.400","0.880","984.400","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","23.300",""
"C0D590","2019-07-25 00:00:00","143.000","235.000","0.900","26.800","0.880","993.400","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.200",""
"C0U990","2019-07-25 00:00:00","31.000","315.000","0.700","27.300","0.900","1006.400","-99.000","2.000","-99.000","-99.000","-99.000","31.900","","25.100",""
"C0M700","2019-07-25 00:00:00","150.000","81.000","1.700","24.900","0.940","993.300","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","23.500",""
"C0A970","2019-07-25 00:00:00","96.000","194.000","7.000","27.100","0.910","998.900","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","25.200",""
"CM0110","2019-07-25 00:00:00","7.000","205.000","0.500","28.200","0.810","1008.500","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","26.500",""
"C0S940","2019-07-25 00:00:00","150.000","202.000","1.500","26.600","0.940","992.300","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.300",""
"C0X250","2019-07-25 00:00:00","33.000","160.000","0.600","27.600","0.910","1005.600","-99.000","26.500","-99.000","-99.000","-99.000","32.900","","25.700",""
"C0K520","2019-07-25 00:00:00","10.000","147.000","1.300","27.800","0.880","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.600",""
"C0Z200","2019-07-25 00:00:00","153.000","205.000","0.300","25.800","0.990","993.200","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","23.800",""
"C0V740","2019-07-25 00:00:00","60.000","5.000","1.300","26.400","0.970","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.500",""
"C0V790","2019-07-25 00:00:00","410.000","0.000","0.000","24.900","0.970","963.400","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","21.900",""
"C0G860","2019-07-25 00:00:00","45.000","119.000","0.700","27.900","0.880","1002.600","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.300",""
"C0F0A0","2019-07-25 00:00:00","3587.000","228.000","2.600","6.400","0.860","666.500","-99.000","0.000","-99.000","-99.000","-99.000","14.000","","5.400",""
"C0Z250","2019-07-25 00:00:00","1124.000","255.000","0.400","20.500","0.990","889.200","-99.000","0.500","-99.000","-99.000","-99.000","26.900","","19.400",""
"C0K440","2019-07-25 00:00:00","35.000","162.000","1.000","27.700","0.890","1005.500","-99.000","1.000","-99.000","-99.000","-99.000","32.200","","25.600",""
"C0T900","2019-07-25 00:00:00","160.000","0.000","0.000","25.600","0.890","990.200","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","23.900",""
"C0F9V0","2019-07-25 00:00:00","525.000","155.000","1.400","25.100","0.900","952.200","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.700",""
"C0UA20","2019-07-25 00:00:00","2619.000","207.000","2.900","12.700","0.990","739.500","-99.000","0.000","-99.000","-99.000","-99.000","20.500","","11.400",""
"C0M850","2019-07-25 00:00:00","695.000","0.000","0.000","23.100","0.990","932.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","20.500",""
"C0AC80","2019-07-25 00:00:00","40.000","0.000","0.200","26.100","0.980","1004.000","-99.000","32.500","-99.000","-99.000","-99.000","34.000","","24.600",""
"C0M810","2019-07-25 00:00:00","1354.000","164.000","0.600","19.000","0.990","865.500","-99.000","26.000","-99.000","-99.000","-99.000","24.600","","17.700",""
"C0R370","2019-07-25 00:00:00","55.000","0.000","0.000","24.800","-99.000","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","23.300",""
"C0I360","2019-07-25 00:00:00","300.000","33.000","2.400","24.500","0.940","975.200","-99.000","3.500","-99.000","-99.000","-99.000","31.600","","23.200",""
"C0C620","2019-07-25 00:00:00","19.000","240.000","0.400","27.300","0.870","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.400",""
"C0G790","2019-07-25 00:00:00","27.000","0.000","0.000","28.000","0.930","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","26.000",""
"C0H960","2019-07-25 00:00:00","120.000","190.000","2.500","27.100","0.970","994.300","-99.000","0.500","-99.000","-99.000","-99.000","33.200","","24.900",""
"C0V620","2019-07-25 00:00:00","18.000","126.000","0.500","28.800","0.860","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.500",""
"C0X280","2019-07-25 00:00:00","22.000","170.000","1.500","28.400","0.870","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","26.000",""
"C0AH40","2019-07-25 00:00:00","426.000","3.000","0.800","25.700","0.900","961.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.300",""
"C0K550","2019-07-25 00:00:00","15.000","132.000","0.500","27.000","0.930","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","25.300",""
"C0R350","2019-07-25 00:00:00","35.000","291.000","1.100","25.800","-99.000","1005.000","-99.000","0.500","-99.000","-99.000","-99.000","31.600","","24.100",""
"C0T9F0","2019-07-25 00:00:00","251.000","0.000","0.000","25.100","0.970","981.200","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","23.600",""
"C0D390","2019-07-25 00:00:00","146.000","0.000","0.000","25.700","0.920","990.700","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","23.300",""
"C0E430","2019-07-25 00:00:00","258.000","186.000","0.700","24.600","0.920","983.200","-99.000","0.500","-99.000","-99.000","-99.000","32.500","","22.300",""
"C0O990","2019-07-25 00:00:00","18.000","141.000","0.600","26.500","0.990","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.000",""
"CM0010","2019-07-25 00:00:00","68.000","114.000","0.300","26.300","-99.000","1001.300","-99.000","13.000","-99.000","-99.000","-99.000","33.600","","24.900",""
"C0K500","2019-07-25 00:00:00","12.000","139.000","0.800","27.300","0.920","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.400",""
"C0X260","2019-07-25 00:00:00","39.000","186.000","0.600","27.200","0.920","1005.300","-99.000","19.000","-99.000","-99.000","-99.000","33.100","","24.900",""
"C0ACA0","2019-07-25 00:00:00","25.000","347.000","0.900","27.700","0.860","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.900",""
"C0X180","2019-07-25 00:00:00","62.000","0.000","0.000","27.100","0.990","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","24.500",""
"C0F930","2019-07-25 00:00:00","100.000","151.000","0.500","28.600","0.960","997.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.500",""
"C0I010","2019-07-25 00:00:00","1562.000","102.000","0.800","18.700","0.870","848.200","-99.000","0.500","-99.000","-99.000","-99.000","24.700","","17.200",""
"C0R190","2019-07-25 00:00:00","32.000","0.000","0.000","27.400","0.970","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","24.300",""
"C0E420","2019-07-25 00:00:00","19.000","0.000","0.000","27.400","0.830","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.100",""
"C0W160","2019-07-25 00:00:00","49.000","231.000","5.700","26.600","0.970","999.500","-99.000","0.000","-99.000","-99.000","-99.000","29.300","","26.100",""
"C0I460","2019-07-25 00:00:00","110.000","213.000","1.500","26.700","0.920","997.500","-99.000","1.000","-99.000","-99.000","-99.000","33.300","","24.500",""
"C0A9F0","2019-07-25 00:00:00","35.000","0.000","0.000","28.300","1.000","1005.000","-99.000","1.500","-99.000","-99.000","-99.000","34.300","","25.800",""
"C0F9A0","2019-07-25 00:00:00","425.000","0.000","0.200","24.900","0.930","961.600","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.700",""
